,Name,Place,Rating Point,Rating Category,Number of Reviews,Distance from Centre,Metro Access,Description
0,The Oberoi New Delhi,New Delhi,9.6,Exceptional,460 reviews,4.6 km from centre,No Metro Access,"Overlooking Delhi's Golf Club and situated in Central Delhi, newly renovated The Oberoi, New Delhi is 16 km from the Indira Gandhi International Airport."
1,Bungalow 99,"South Delhi, New Delhi",9.7,Exceptional,216 reviews,6.8 km from centre,No Metro Access,"Situated in New Delhi, 4.2 km from Humayun's Tomb and 5 km from Lodhi Gardens, Bungalow 99 features accommodation with free WiFi, air conditioning, a restaurant and a shared lounge."
2,The Leela Palace New Delhi,"South Delhi, New Delhi",9.3,Superb,"1,240 reviews",7 km from centre,No Metro Access,"Located in New Delhi's Diplomatic Enclave, The Leela Palace New Delhi is a blend of Lutyen's architecture and the royal Indian culture."
3,Maidens Hotel New Delhi,"North Delhi, New Delhi",9.4,Superb,762 reviews,4.4 km from centre,Metro access,"Built in 1903, Maidens Hotel showcases 19th century colonial charm and architecture. It has an outdoor pool, fitness centre and features a coffee shop which extends into a charming, open courtyard."
4,Tatvamasi Homestay,"South Delhi, New Delhi",9.8,Exceptional,118 reviews,11.2 km from centre,No Metro Access,Tatvamasi Homestay is located in New Delhi. It is 1.6 km from the serene Lotus Temple. Free WiFi access is available.
5,"The Imperial, New Delhi","Connaught Place, New Delhi",9.3,Superb,791 reviews,1.3 km from centre,Metro access,"Located 1 km from New Delhi's City Centre and Business District, Hotel Imperial offers an outdoor pool and health club. Guests can enjoy spa services and 7 dining options."
6,Cp Villa,"Central Delhi, New Delhi",9.3,Superb,329 reviews,1.5 km from centre,Metro access,"Featuring free WiFi, Cp Villa is situated in New Delhi, a 15-minute walk from Jantar Mantar and 2.5 km from Rashtrapati Bhavan. 3.3 km from India Gate. The property is 1.9 km from the city middle."
7,Tobo Stays,"South Delhi, New Delhi",9.2,Superb,376 reviews,12.1 km from centre,No Metro Access,"Situated in New Delhi and with Lotus Temple reachable within 5 km, Tobo Stays features concierge services, allergy-free rooms, a shared lounge, free WiFi throughout the property and a garden."
8,"Taj Palace, New Delhi","Chanakyapuri, New Delhi",8.9,Fabulous,"3,379 reviews",6.7 km from centre,No Metro Access,"Spread over six acres of lush gardens, offering an outdoor swimming pool and panoramic city views, Taj Palace New Delhi is located in New Delhi. WiFi access is available."
9,Staybook - ShivDev International New Delhi,"Paharganj, New Delhi",8.5,Very good,848 reviews,1.3 km from centre,No Metro Access,Staybook - ShivDev International New Delhi provides easy access to the shopping and entertainment area of Delhi. It offers comfortable accommodations with cable TV and free Wi-Fi in rooms.
10,Moustache Delhi,"New Friends Colony, New Delhi",9.1,Superb,"1,092 reviews",9 km from centre,No Metro Access,"Located in New Delhi, Moustache Hostel Delhi provides free WiFi. The property is situated 5 km from Humayun's Tomb. The property is set in the New Friends Colony district, 7 km from Pragati Maidan."
11,The Lodhi – A member of The Leading Hotels Of The World,New Delhi,8.9,Fabulous,415 reviews,5 km from centre,No Metro Access,"Situated just 1 km from the tomb of the famous Mughal Emperor Humayun, The Lodhi is a luxurious property which features an outdoor swimming pool, free Wi-Fi throughout the property and a 24-hour front..."
12,bloomrooms @ Janpath,"Connaught Place, New Delhi",8.8,Fabulous,"1,106 reviews",1.5 km from centre,Metro access,"Situated in New Delhi, 1.4 km from Jantar Mantar, bloomrooms @ Janpath features accommodation with a restaurant, free private parking and a shared lounge."
13,"Shangri-La Eros, New Delhi","Connaught Place, New Delhi",8.7,Fabulous,"2,348 reviews",1.6 km from centre,Metro access,"The recently refurbished Shangri – La’s – Eros Hotel, New Delhi offers 5 dining options and an outdoor swimming pool. India Gate is 2.5 km and Jantar Mantar is 1.3 km away."
14,Villa 33,"Hauz Khas, New Delhi",9.1,Superb,266 reviews,10 km from centre,Metro access,"Situated in New Delhi, Villa 33 offers accommodation with a patio or a balcony, free WiFi and flat-screen TV, as well as a shared lounge and a terrace."
15,The Neem,"Greater Kailash 1, New Delhi",9.1,Superb,186 reviews,9.5 km from centre,No Metro Access,"Located in New Delhi, 3.4 km from Lotus Temple and 6 km from Humayun's Tomb, The Neem provides accommodation with free WiFi, air conditioning, a shared lounge and a garden."
16,Roseate House New Delhi,"South West, New Delhi",8.8,Fabulous,"2,167 reviews",13.6 km from centre,Metro access,"Roseate House New Delhi offers a rooftop infinity pool, a spa and wellness centre and 3 dining options. The property features an ultra-chic cinema hall – Upstage."
17,The Taj Mahal Hotel New Delhi,"Central Delhi, New Delhi",8.8,Fabulous,613 reviews,3.3 km from centre,No Metro Access,"Located in the heart of Lutyen’s Delhi, Taj Mahal Hotel New Delhi offers luxurious accommodation situated amidst 6 acres of landscaped grounds."
18,Homestay Chateau 39,"North Delhi, New Delhi",9.5,Exceptional,79 reviews,3.9 km from centre,Metro access,"Situated in New Delhi, 3.3 km from Red Fort and 3.5 km from Gurudwara Sis Ganj Sahib, Homestay Chateau 39 offers a garden and air conditioning."
19,JW Marriott Hotel New Delhi Aerocity,"South West, New Delhi",8.8,Fabulous,"1,012 reviews",13.4 km from centre,Metro access,"Located just a 7-minute drive away from the Delhi International Airport, JW Marriott Hotel New Delhi Aerocity features a full-service spa, 5 food and beverage outlets and an outdoor swimming pool."
20,Datstop Hostel,"South Delhi, New Delhi",8.9,Fabulous,165 reviews,14.7 km from centre,No Metro Access,"Situated in New Delhi, 9 km from Qutub Minar, Datstop Hostel features accommodation with a shared lounge, free private parking, a garden and a terrace."
21,Madpackers Delhi,"South Delhi, New Delhi",8.7,Fabulous,601 reviews,10.3 km from centre,No Metro Access,Madpackers Delhi is located in New Delhi and provides a 24-hour front desk for the convenience of the guests. Free WiFi access is available in this self-catering accommodation.
22,Aloft New Delhi Aerocity,"South West, New Delhi",8.5,Very good,"1,533 reviews",13.3 km from centre,Metro access,"Boasting a fitness centre and a garden, Aloft New Delhi Aerocity is located in New Delhi, 2 km from New Delhi International Airport."
23,Hide-In Hostel Delhi,"Saket, New Delhi",8.7,Fabulous,668 reviews,12.8 km from centre,Metro access,"Located in New Delhi, 3.4 km from Qutub Minar, Hide-In Hostel Delhi provides accommodation with a shared lounge, free private parking, a garden and a terrace."
24,Some Hostel in Delhi,"South Delhi, New Delhi",9.6,Exceptional,58 reviews,14.7 km from centre,No Metro Access,"Some Hostel in Delhi in New Delhi provides adults-only accommodation with a shared lounge, a garden and barbecue facilities."
25,Colonel’s Retreat,"South Delhi, New Delhi",8.9,Fabulous,259 reviews,7.4 km from centre,Metro access,"Within 3 km of Humayun’s Tomb and India Gate, this bed and breakfast property offers room with a flat-screen TV and free internet access."
26,The Hosteller New Delhi,"New Friends Colony, New Delhi",8.4,Very good,536 reviews,8 km from centre,Metro access,"Located in New Delhi, 6 km from Humayun's Tomb, The Hosteller New Delhi provides accommodation with a restaurant, free private parking, a bar and a shared lounge."
27,B Nineteen,"South Delhi, New Delhi",9.3,Superb,90 reviews,5.7 km from centre,Metro access,"Located just 400 metres from the Nizamuddin Railway Station and 650 metres from the famous Delhi Golf Club, B Nineteen provides 24-hour front desk for the convenience of the guests."
28,Thikana Delhi ( Boutique B&B),"South Delhi, New Delhi",9.1,Superb,115 reviews,8.8 km from centre,No Metro Access,"Featuring a rooftop garden, Thikana Delhi is located in New Delhi. It is 500 metres from the Hauz Khas Village, an urbanized village with medieval history. Free Wi-Fi access is available."
29,The Claridges New Delhi,"Central Delhi, New Delhi",8.5,Very good,"2,247 reviews",3.9 km from centre,No Metro Access,"Located in Lutyens New Delhi, The Claridges, New Delhi, offers rooms with old-world charm and contemporary furnishings."
30,Hotel Ritz,"Paharganj, New Delhi",8.7,Fabulous,644 reviews,1.3 km from centre,No Metro Access,"2.9 km from Jantar Mantar, Hotel Ritz is situated in New Delhi and provides free WiFi, concierge services and a tour desk."
31,Prakash Kutir B&B,"Hauz Khas, New Delhi",9.0,Superb,107 reviews,9.4 km from centre,No Metro Access,"Set 4 km from Qutub Minar and 6 km from Lodhi Gardens, Prakash Kutir B&B provides accommodation in New Delhi."
32,Sprinklers,"Paharganj, New Delhi",8.7,Fabulous,300 reviews,1.4 km from centre,Metro access,"Boasting a garden, Sprinklers is situated in New Delhi in the Delhi NCR region, 1.9 km from Gurudwara Bangla Sahib and 3.1 km from Jantar Mantar."
33,"Holiday Inn New Delhi International Airport, an IHG Hotel","South West, New Delhi",8.4,Very good,"4,953 reviews",13.5 km from centre,Metro access,"Offering an outdoor swimming pool, a fitness centre and a spa and wellness centre, Holiday Inn New Delhi International Airport is located in New Delhi. Free WiFi access is available."
34,Hotel Sky Suite Deluxe Near IGI Airport Delhi,"South West, New Delhi",8.7,Fabulous,250 reviews,14.7 km from centre,No Metro Access,"Set in New Delhi, 9 km from Qutub Minar, Hotel Sky Suite Deluxe Near IGI Airport Delhi offers accommodation with a restaurant, free private parking and a shared lounge."
35,"Vivanta New Delhi, Dwarka","Dwarka, New Delhi",8.4,Very good,"1,758 reviews",17.9 km from centre,No Metro Access,"Spanning over 7 acres and offering an outdoor swimming pool, a fitness centre and a spa and wellness centre, Vivanta New Delhi, Dwarka is located is 500 metres from Dwarka Sector 21 Metro Station."
36,Andaz Delhi Aerocity- Concept by Hyatt,"South West, New Delhi",8.4,Very good,"1,247 reviews",13.3 km from centre,No Metro Access,This vibrant luxury 5-star hotel is located a 5-minute drive from the Indira Gandhi International Airport.
37,Hotel Palace Heights,"Connaught Place, New Delhi",8.6,Fabulous,483 reviews,0.2 km from centre,Metro access,"Just 600 metres from Connaught Place, this hotel offers Wi-Fi accessible rooms with a flat-screen TV and DVD player. Situated in New Delhi, it features an Indian restaurant and 24-hour room service."
38,Bed and Chaï Guest House,"Greater Kailash 1, New Delhi",8.5,Very good,306 reviews,9.8 km from centre,No Metro Access,"Offering comfortable and cosy accommodation in the capital city, Bed and Chaï is located in New Delhi. Free WiFi access is available in all areas."
39,Airport Hotel Tashree,"South West, New Delhi",8.7,Fabulous,152 reviews,18.3 km from centre,No Metro Access,"Situated in New Delhi, 18 km from Qutub Minar, Airport Hotel Tashree features accommodation with a restaurant, free private parking, a shared lounge and a terrace."
40,Joey's Hostel,"East Delhi, New Delhi",8.5,Very good,813 reviews,5.1 km from centre,Metro access,"Joey's Hostel is located in New Delhi, just 350 metres from the Laxmi Metro Station. Free WiFi access is available. Each room here will provide you with air conditioning. It comes with shared..."
41,Pullman New Delhi International Airport,"South West, New Delhi",8.3,Very good,"1,061 reviews",13.2 km from centre,No Metro Access,Located 200 m away from the Delhi Aerocity metro station - Pullman New Delhi Aerocity offers 6 dining options and a bar. The property features a Woo wellness spa & salon and an outdoor swimming pool.
42,"Crowne Plaza New Delhi Okhla, an IHG Hotel","South Delhi, New Delhi",8.4,Very good,842 reviews,12.8 km from centre,No Metro Access,"Located in the heart of South Delhi, Crowne Plaza overlooks Delhi’s Green Ridge. It features a full spa and 24-hour fitness centre."
43,The Manor - A Boutique Hotel,"South Delhi, New Delhi",9.1,Superb,61 reviews,7.9 km from centre,Metro access,"Manor is a stylish boutique hotel located a 30-minute drive from Indira Gandhi Airport. Offering an  Ayurvedic massage service, it also has free parking and internet in rooms."
44,"Ambassador, New Delhi - IHCL SeleQtions","Central Delhi, New Delhi",8.4,Very good,604 reviews,3.7 km from centre,Metro access,"Housed in a 1947 heritage building, Ambassador, New Delhi - IHCL SeleQtions is located in New Delhi, next to Khan Market. It offers a health club and spa. Free parking is provided."
45,Haveli Dharampura - UNESCO awarded Boutique Heritage Hotel,"North Delhi, New Delhi",8.5,Very good,271 reviews,2.3 km from centre,No Metro Access,"Set in the heart of Delhi, WelcomHeritage Haveli Dharampura, awarded UNESCO award for cultural and heritage restoration, is nestled among the narrow alleys of Chandni Chowk."
46,"ITC Maurya, a Luxury Collection Hotel, New Delhi","Chanakyapuri, New Delhi",8.1,Very good,814 reviews,6.4 km from centre,No Metro Access,"Located in Chanakyapuri, ITC Maurya New Delhi, A Luxury Collection Hotel is 5.7 km from the iconic India Gate. An outdoor pool, spa treatments at Kaya Kalp Spa and 24-hour room service are available."
47,The Roseate,"South West, New Delhi",8.3,Very good,455 reviews,16.3 km from centre,No Metro Access,"Set amongst 8-acres of luscious greens encompassed by over a thousand trees and water bodies, The Roseate offers a spa and wellness centre, an outdoor pool and 2 restaurants."
48,Sheraton New Delhi Hotel,"Saket, New Delhi",8.6,Fabulous,756 reviews,12.1 km from centre,No Metro Access,"Featuring 4 dining options, an outdoor swimming pool and a spa and wellness centre, Sheraton New Delhi Hotel is located in Saket. Each room here will provide you with air conditioning and a minibar."
49,Bloomrooms @ New Delhi Railway Station,"Paharganj, New Delhi",8.4,Very good,"1,201 reviews",1.3 km from centre,No Metro Access,"Just 300 metres from Delhi Railway Station, Bloomrooms @ New Delhi Railway Station offers convenient transport access and bright, cheery rooms with free Wi-Fi and a private bathroom."
50,Radisson Blu Plaza Delhi Airport,"Mahipalpur, New Delhi",8.3,Very good,"4,557 reviews",14.3 km from centre,No Metro Access,"Located only 3 km away from Indira Gandhi International Airport along the Delhi-Gurgaon Expressway, Radisson Blu Plaza Delhi features luxurious and modern rooms with free WiFi."
